AVARU_G1_Yambuto_lake_mtelyatnikov_2017_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Yambuto lake (G1) Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Mikhail Telyatnikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M. Y., Troeva, E. I., Ermokhina, K. A., & Pristyazhnyuk, A. (2019). Vegetation of the two regions of the northern part of the Gydan Peninsula (the subzone of typical tundras). Turczaninowia, 22(4), 128–144. https://doi.org/10.14258/turczaninowia.22.4.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Yambuto lake (G1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,G1-1,G1-3,G1-6,G1-7,G1-8,G1-9,G1-12,G1-13,G1-15,G1-15a,G1-18,G1-20,G1-21,G1-23,G1-24,G1-26,G1-28,G1-30,G1-32,G1-33,G1-35,G1-37,G1-39,G1-41,G1-43,G1-45,G1-46,G1-48,G1-50,G1-52,G1-55,G1-56,G1-57,G1-58,G1-60,G1-62,G1-64,G1-66,G1-68,G1-69,G1-72,G1-73,G1-74,G1-76,G1-79,G1-80,G1-82,G1-84,G1-86,G1-88,G1-90,G1-92,G1-94,G1-95,G1-97,G1-99,G1-101,G1-103,G1-105,G1-107,G1-109,G1-111,G1-111a,G1-113,G1-115,G1-118,G1-119,G1-121,G1-124,G1-126,G1-127,G1-129,G1-131,G1-133,G1-135,G1-137,G1-139,G1-141,G1-143,G1-1-MT,G1-2-MT,G1-3-MT,G1-4-MT,G1-5-MT,G1-6-MT
Dupontia fischeri,Dupontia fisheri,Dupontia fisheri R. Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empetrum subholarcticum,Empetrum subholarcticum,Empetrum nigrum L.,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encalypta alpina,Encalypta alpina,Encalypta alpina Sm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium alpinum,Epilobium alpinum,Epilobium lactiflorum Hausskn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum arvense,Equisetum arvense,Equisetum arvense L.,5,3,3,3,4,3,0,10,0,4,0,0,0,0,0,0,0,1,0,0,5,1,0,10,5,10,3,2,0,0,0,1,1,0,0,1,0,5,2,0,12,0,0,0,5,5,3,5,0,5,0,6,3,0,0,5,2,8,8,0,0,0,0,3,5,0,0,2,5,3,0,0,10,1,15,16,17,12,12,4,0,7,7,15,4
Equisetum scirpoides,Equisetum scirpoides,Equisetum scirpoides Michx.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erigeron eriocalyx,Erigeron eriocalyx,Erigeron eriocalyx (Ledeb.) Vierh.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erigeron eriocephalus,Erigeron eriocephalus,Erigeron eriocephalus J. Vahl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum brachyantherum,Eriophorum brachyantherum,Eriophorum brachyantherum Trautv. & C.A. Mey.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Eriophorum polystachyon,Eriophorum polystachion,Eriophorum angustifolium Honck.,0,0,0,0,0,0,2,0,20,6,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,5,0,0,0,2,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,8,5,0,0,4,0,0,0,0,20,7,0,19,15,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Eriophorum russeolum,Eriophorum russeolum,Eriophorum russeolum Fr. ex Hartm.,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum scheuchzeri,Eriophorum scheuchzeri,Eriophorum scheuchzeri Hoppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriophorum vaginatum,Eriophorum vaginatum,Eriophorum vaginatum L.,0,0,0,0,0,0,25,0,0,0,5,10,15,2,30,12,1,0,0,55,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,5,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,2,0
Eritrichium villosum,Eritrichium villosum,Eritrichium villosum (Ledeb.) Bunge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurynchiastrum pulchellum,Unknown forb,Unknown forb,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eutrema edwardsii,Eutrema edwardsii,Eutrema edwardsii R. Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,2
Festuca rubra subsp. arctica,Festuca rubra s. arctica ?,Festuca rubra s. richardsonii (Hook.) HultÂn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca brachyphylla,Festuca brachyphylla,Festuca brachyphylla Schult.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca ovina,Festuca ovina [s. ovina],Festuca ovina [s. ovina] L.,0,0,0,0,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,4,0,1,0,0,0,0,5,1,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
Festuca rubra,Festuca rubra,Festuca rubra L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuvca ovina var. vivipara,Festuca ovina taxon vivipara,Festuca vivipara (L.) Sm.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavocetraria cucullata,Flavocetraria cucullata,Flavocetraria cucullata (Bell.) KÄrnefelt & Thell,3,2,3,3,0,6,3,0,0,0,1,5,3,1,1,3,3,3,2,0,0,3,3,2,3,2,0,0,1,2,0,2,0,2,3,2,2,0,2,2,0,2,2,2,2,0,2,3,2,2,0,3,0,0,0,1,4,0,2,2,0,0,0,1,0,2,1,0,2,2,3,2,0,1,0,1,2,5,2,1,1,0,0,2,0
Flavocetraria nivalis,Flavocetraria nivalis,Flavocetraria nivalis (L.) KÄrnefelt & Thell,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,3,2,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
Gastrolychnis angustiflora,Gastrolychnis angustiflora,Silene involucrata s. involucrata (Cham. & Schltdl.) Bocquet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastrolychnis apetala,Gastrolychnis apetala,Silene wahlbergella Chowdhuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gastrolychnis involucrata,Gastrolychnis involucrata,Silene involucrata (Cham. & Schltdl.) Bocquet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnomitrion corallioides,Gymnomitrion corallioides Nees,Gymnomitrion corallioides (Nees) Nees,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harpanthus flotovianus,Harpanthus flotovianus (Nees) Nees,Harpanthus flotovianus (Nees) Nees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamatocaulis vernicosus,Hamatocaulis vernicosus,Hamatocaulis vernicosus (Mitt.) Hedenas,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedysarum arcticum,Hedysarum arcticum,Hedysarum hedysaroides s. arcticum (B. Fedtsch.) P.W. Ball,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,10,0,7,0
Hierochloe alpina,Hierochloû alpina,Hierochloû alpina (Sw.) Roem. & Schult.,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,1,0,0,3,3,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,0,4,0
Hierochloe pauciflora,Hierochloû pauciflora,Hierochloû pauciflora R. Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippuris vulgaris,Hippuris vulgaris,Hippuris vulgaris L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huperzia arctica,Huperzia arctica,Huperzia arctica (Grossh. ex Tolm.) Sipliv.,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocomium species,Hylocomium species,Hylocomium species ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Hylocomium splendens,Hylocomium splendens,Hylocomium splendens (Hedw.) Schimp.,2,10,20,5,0,4,2,3,0,0,5,5,2,25,6,6,0,2,2,3,8,0,6,12,17,10,0,10,10,2,0,10,10,2,5,2,0,45,5,2,0,5,0,0,0,0,5,0,2,2,40,5,20,1,0,0,5,2,3,5,7,25,0,15,12,10,7,0,35,25,17,7,20,0,0,6,15,12,25,0,35,7,0,10,30
Hypnum cupressiforme,Hypnum cupressiforme,Hypnum cupressiforme Hedw.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnum pratense,Hypnum pratense,Hypnum pratense J. Koch ex Spruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypogymnia species,Hypogymnia species,Hypogymnia species ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypogymnia subobscura,Hypogymnia subobscura,Hypogymnia subobscura (Vainio) Poelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopaches bicrenatus,Isopaches bicrenatus (Schmidel ex Hoffm.) H.Buch,Isopaches bicrenatus (Schmidel ex Hoffm.) H. Buch,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus arcticus,Juncus arcticus,Juncus arcticus Willd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus biglumis,Juncus biglumis,Juncus biglumis L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koeleria asiatica,Koeleria asiatica,Koeleria asiatica Domin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lagotis minor,Lagotis minor,Lagotis glauca s. minor (Willd.) HultÂn,0,1,0,0,0,2,0,1,0,1,2,0,1,0.5,2,0,0,0.5,0,0,1,0,0,0,0.5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.5,2,2,0,2,0,0,0,1,2,2,2,2,2,0,0,0,2,0,1,0,0
Lecanora epibryon,Lecanora epibryon,Lecanora epibryon (Ach.) Ach.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ledum decumbens,Ledum decumbens,Rhododendron tomentosum s. decumbens (Aiton) Elven & D.F. Murray,1,0,2,4,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,11,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,8,0,1,0,0,0
Leptobryum pyriforme,Leptobryum pyriforme,Leptobryum pyriforme (Hedw.) Wils.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limprichtia revolvens,Limprichtia revolvens,Limprichtia revolvens (Swartz) Loeske,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloydia serotina,Lloydia serotina,Lloydia serotina (L.) Rchb.,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lobaria linita,Lobaria linita,Lobaria linita (Ach.) Rabenh.,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
Loeskypnum badium,Loeskypnum badium,Loeskypnum badium (C.J. Hart.) Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0
Lopadium pezizoideum,Lopadium pezizoideum,Lopadium pezizoideum (Ach.) KÔrb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophozia excisa,Lophoziopsis excisa (Dicks.) Konstant. & Vilnet,Lophozia excisa (Dicks.) Dumort.,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Lophozia jurensis,Lophoziopsis propagulifera (Gottsche) Konstant. & Vilnet,Lophozia jurensis Meyl. ex Müll. Frib.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophozia longiflora,Lophozia ventricosa v. longiflora (Nees) Macoun,Lophozia longiflora (Nees) Schiffn.,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophozia polaris,Lophoziopsis polaris (R.M.Schust.) Konstant. & Vilnet,Lophozia polaris (R.M. Schust.) R.M. Schust. & Damsh.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Lophozia polaris,Lophoziopsis polaris (R.M.Schust.) Konstant. & Vilnet,Lophozia polaris (R.M. Schust.) R.M. Schust. & Damsh. var. sphagnorum (R.M. Schust.)R.M. Schust. & Damsh.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
