AVARU_G2_Northern_Gydan_eltroeva_2017_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Northern Gydan (G2) Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Elena Troeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M. Y., Troeva, E. I., Ermokhina, K. A., & Pristyazhnyuk, A. (2019). Vegetation of the two regions of the northern part of the Gydan Peninsula (the subzone of typical tundras). Turczaninowia, 22(4), 128–144. https://doi.org/10.14258/turczaninowia.22.4.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Northern Gydan (G2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,G2_2,G2_4,G2_6,G2_8,G2_11,G2_12,G2_14,G2_16,G2_17,G2_19,G2_22,G2_24,G2_26,G2_28,G2_30,G2_31,G2_33,G2_35,G2_36,G2_38,G2_40,G2_41,G2_43,G2_45,G2_47,G2_49,G2_51,G2_52,G2_55,G2_57,G2_59,G2_62,G2_64,G2_66,G2_68,G2_70,G2_72,G2_73,G2_75,G2_78,G2_80,G2_82,G2_84,G2_86,G2_88,G2_90,G2_92,G2_94,G2_95,G2_97,G2_99,G2_101,G2_104,G2_105,G2_107,G2_109,G2_112,G2_114,G2_116,G2_118,G2_120,G2_121,G2_123,G2_125,G2_127,G2_130,G2_131,G2_132,G2_137,G2_139,G2_140,G2_143,G2_144,G2_146,G2_148,G2_150,G2_152,G2_154,G2_156,G2_158,G2_160,G2_162
Ochrolechia frigida,Ochrolechia frigida (Sw.) Lynge,Ochrolechia frigida,0,2,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2
Oncophorus wahlenbergii,Oncophorus wahlenbergii Brid.,Oncophorus wahlenbergii,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthothecium chryseum,Orthothecium chryseum (Schwaegr.) B.S.G.,Orthothecium chryseon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxyria digyna,Oxyria digyna (L.) Hill,Oxyria digyna,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Parmelia fraudans,Parmelia fraudans (Nyl.) Nyl.,Parmelia fraudans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Parmelia sulcata,Parmelia sulcata Tayl.,Parmelia sulcata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pedicularis albolabiata,Pedicularis albolabiata (HultÂn) Kozhevn.,Pedicularis albolabiata,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Pedicularis hirsuta,Pedicularis hirsuta L.,Pedicularis hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedicularis lapponica,Pedicularis lapponica L.,Pedicularis lapponica,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Pedicularis oederi,Pedicularis oederi Vahl,Pedicularis oederi,2,3,0,0,2,2,2,0,3,0,3,3,2,2,3,3,0,0,3,3,3,0,2,0,2,0,2,0,0,2,0,0,3,3,3,3,0,0,0,3,3,3,2,2,3,0,2,0,2,3,0,0,0,0,2,0,2,2,3,0,2,3,2,0,2,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2
Pedicularis sudetica s. interioroides,Pedicularis interior (HultÂn) Molau & D.F. Murray,Pedicularis interioroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Pedicularis verticillata,Pedicularis verticillata L.,Pedicularis verticillata,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,2,0,2,0,0,2,0,2,0,0,0,2,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Peltigera aphthosa,Peltigera aphthosa (L.) Willd.,Peltigera aphthosa,10,5,0,0,0,0,2,0,2,2,3,2,2,3,2,3,0,0,3,3,2,0,3,2,2,0,0,2,0,2,2,0,2,3,2,2,2,3,2,2,3,2,3,2,2,0,3,0,3,0,3,3,2,0,3,2,2,3,3,2,3,3,3,0,3,0,3,3,3,2,0,0,2,2,0,0,0,2,0,0,0,3
Peltigera canina,Peltigera canina (L.) Willd.,Peltigera canina,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera didactyla s.lat.,Peltigera didactyla s.lat. (With.) Laundon,Peltigera didactyla,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera leucophlebia,Peltigera leucophlebia (Nyl.) Gyeln.,Peltigera leucophlebia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Peltigera malacea,Peltigera malacea (Ach.) Funck,Peltigera malacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera membranacea,Peltigera membranacea (Ach.) Nyl.,Peltigera membranacea,2,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,0,2,0,3,0,2,0,2,2,2,2,2,3,3,0,0,2,0,0,2,0,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
Peltigera neckeri,Peltigera neckeri MÁll.Arg.,Peltigera neckeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peltigera polydactylon,Peltigera polydactylon (Neck.) Hoffm.,Peltigera polydactyla,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,2,0,0
Peltigera rufescens,Peltigera rufescens (Weis) Humb.,Peltigera rufescens,2,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,3,0,2,0,0,0,2,2,2,0,0,2,0,0,0,0,2,0,2,0,0,2,22,0,0,0,0,0,0,2,2
Peltigera scabrosa,Peltigera scabrosa Th. Fr.,Peltigera scabrosa,0,2,0,0,0,0,2,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0
Peltigera species,Peltigera species ,Peltigera species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Pertusaria dactylina,Pertusaria dactylina (Ach.) Nyl.,Pertusaria dactylina,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petasites frigidus,Petasites frigidus (L.) Fr.,Petasites frigidus,3,2,3,2,3,0,0,2,5,0,0,0,4,0,0,10,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,3,0,2,2,3,3,0,3,3,0,2,2,3,0,2,0,2,3,2,0,15,5,15,5,3,3,0,0,2,2,3,2,0,2,0,0,0,2,0,3,0,0,10,0,0,0,3,0,0,0,0
Philonotis fontana,Philonotis fontana (Hedw.) Brid.,Philonotis fontana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phippsia algida,Phippsia algida (Sol.) R. Br.,Phippsia algida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiomnium ellipticum,Plagiomnium ellipticum (Brid.) T. Kop.,Plagiomnium ellipticum,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiomnium medium,Plagiomnium medium (Bruch & Schimp.) T. Kop.,Plagiomnium medium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiomnium species,Plagiomnium species ,Plagiomnium species,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,10,2,0,0,2,0,0,2,0,0,0,15,0,5,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
Plagiothecium berggrenianum,Plagiothecium berggrenianum Frisvoll,Plagiothecium berggrenianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pleurozium schreberi,Pleurozium schreberi (Willdenow ex Brid.) Mitt.,Pleurozium schreberi,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Poa alpina,Poa alpina L.,Poa alpigena,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,0,0,2,0,0,5,2,0,0,0,0,0,0,3,0,0,2,0,0,2,10,4,0,0,0,0,0,3,2,2,0,2,0,0,10,3,2,2,0,0,0,0,0,3
Poa arctica,Poa arctica R. Br.,Poa arctica,3,2,2,0,0,3,0,0,3,3,4,3,3,2,2,3,0,0,2,3,2,3,2,2,0,0,3,3,0,3,4,2,2,3,2,2,2,0,0,2,2,3,2,2,3,0,2,0,2,0,3,3,0,2,2,0,2,2,2,0,2,2,2,0,2,0,3,3,3,0,0,0,3,0,0,2,0,10,0,4,2,3
Pogonatum urnigerum,Pogonatum urnigerum (Hedw.) P. Beauv.,Pogonatum urnigerum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Pohlia bulbifera,Pohlia bulbifera (Warnst.) Warnst.,Pohlia bulbifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pohlia cruda,Pohlia cruda (Hedw.) Lindb.,Pohlia cruda,0,2,0,2,0,2,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pohlia crudoides,Pohlia crudoides (Sull. & Lesq.) Broth.,Pohlia crudoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pohlia drummondii,Pohlia drummondii (C. MÁll.) Andrews,Pohlia drummondii,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pohlia nutans,Pohlia nutans (Hedw.) Lindb.,Pohlia nutans,3,2,0,2,0,0,2,0,4,3,3,0,2,3,3,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,2,2
Pohlia proligera,Pohlia proligera (Kindb.) Broth.,Pohlia proligera,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polemonium acutiflorum,Polemonium acutiflorum Willd.,Polemonium acutiflorum,0,0,5,0,2,3,0,0,0,0,2,3,3,0,0,2,2,0,0,2,0,3,0,0,3,0,2,0,5,0,0,3,0,0,0,0,3,3,2,0,2,0,0,3,2,2,0,10,0,3,0,5,4,10,0,2,0,0,0,3,0,0,0,3,0,5,0,0,0,2,0,0,3,2,0,0,0,2,0,0,0,0
Polystichum species,Polystichum species ,Polytrichum species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Polytrichastrum alpinum,Polytrichastrum alpinum (Hedw.) G. L. Sm.,Polytrichastrum alpinum,0,2,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Polytrichastrum species,Polytrichastrum species ,Polytrichastrum species,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Polytrichum hyperboreum,Polytrichum hyperboreum R. Br.,Polytrichum hyperboreum,0,3,0,2,0,0,5,0,0,3,0,0,0,15,0,0,0,0,0,0,30,0,0,15,0,0,0,5,0,3,5,0,5,3,0,0,0,0,0,0,2,3,0,3,0,2,0,0,5,0,0,5,0,0,10,0,0,5,0,0,5,5,5,0,2,0,0,40,2,2,0,0,0,0,0,5,0,0,0,10,2,3
Polytrichum juniperinum,Polytrichum juniperinum Hedw.,Polytrichum juniperinum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,0,0,3,2,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Polytrichum piliferum,Polytrichum piliferum Hedw.,Polytrichum piliferum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytrichum strictum,Polytrichum strictum Menzies ex Brid.,Polytrichum strictum,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,5,2,0,5,0,2,3,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,2,0,2,2,2
Potentilla hyparctica,Potentilla hyparctica Malte,Potentilla hyparctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla stipularis,Potentilla stipularis L.,Potentilla stipularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primula stricta,Primula stricta Hornem.,Primula stricta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptilidium ciliare,Ptilidium ciliare (L.) Hampe,Ptilidium ciliare,20,40,0,0,0,0,0,0,0,20,0,0,0,10,20,10,0,0,0,0,2,0,30,5,0,0,20,20,0,5,0,0,20,30,30,20,2,0,0,20,20,80,50,0,0,0,10,0,20,0,0,2,0,0,0,0,2,10,0,0,0,15,15,0,0,0,3,0,10,0,0,0,0,0,0,0,0,2,0,0,0,3
Pyrola rotundifolia s. norvegica,Pyrola grandiflora s. norvegica (Knaben) A. LÔve & D. LÔve,Pyrola rotundifolia,2,2,0,0,0,0,0,0,3,0,20,0,0,10,0,0,0,0,35,0,0,0,0,3,0,0,3,5,0,0,0,0,3,5,2,2,0,0,0,2,0,5,10,0,0,0,5,0,0,0,5,0,0,0,0,0,3,2,0,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Racomitrium canescens,Racomitrium canescens (Hedw.) Brid.,Racomitrium canescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racomitrium lanuginosum,Racomitrium lanuginosum (Hedw.) Brid.,Racomitrium lanuginosum,0,2,0,0,0,0,3,0,0,2,0,0,0,2,3,0,0,0,0,0,5,2,5,15,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus affinis,Ranunculus arcticus Richardson,Ranunculus affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus lapponicus,Coptidium lapponicum (L.) Tzvelev,Ranunculus lapponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Ranunculus monophyllus,Ranunculus monophyllus Ovcz. s. lat. ,Ranunculus monophyllus,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus nivalis,Ranunculus nivalis L.,Ranunculus nivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ranunculus pallasii,Coptidium pallasii (Schltdl.) Tzvelev,Ranunculus pallasii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
